Address,BlockNumber,StreetName,Lon,Lat
1000 PARK ST Charlottesville VA,1000,PARK ST,-78.47119330193712,38.04066627765033
600 FORREST HILL AVE Charlottesville VA,600,FORREST HILL AVE,-78.4957235,38.0253238
600 E MARKET ST Charlottesville VA,600,E MARKET ST,-78.47709675567152,38.03055607298227
2200 JEFFERSON PARK AVE Charlottesville VA,2200,JEFFERSON PARK AVE,-78.5153357341513,38.024769583656365
700 PROSPECT AVE Charlottesville VA,700,PROSPECT AVE,-78.49436120881208,38.024866245715636
300 E HIGH ST Charlottesville VA,300,E HIGH ST,-78.48253253876639,38.03390873745424
0 UNIVERSITY WAY Charlottesville VA,0,UNIVERSITY WAY,-78.5020130413617,38.04112249245875
1500 ROSA TER Charlottesville VA,1500,ROSA TER,-78.48554028433576,38.01984639266519
0 MONTICELLO AVE Charlottesville VA,0,MONTICELLO AVE,-78.4779938,38.0238281
600 BAILEY RD Charlottesville VA,600,BAILEY RD,-78.49571474656393,38.02100697704173
1800 HYDRAULIC RD Charlottesville VA,1800,HYDRAULIC RD,-78.49047952629934,38.05969829374594
2300 FONTAINE AVE Charlottesville VA,2300,FONTAINE AVE,-78.51647296158465,38.02544295510429
200 2ND ST NE Charlottesville VA,200,2ND ST NE,-78.48083527606684,38.031780231770206
1300 W MAIN ST Charlottesville VA,1300,W MAIN ST,-78.49779857942342,38.03322854210231
100 WESTWOOD CIR Charlottesville VA,100,WESTWOOD CIR,-78.48161194147654,38.043402774840075
1600 MONTICELLO RD Charlottesville VA,1600,MONTICELLO RD,-78.4733210496293,38.017819049231385
400 W MAIN ST Charlottesville VA,400,W MAIN ST,-78.48723801197319,38.030513337601526
1400 CHERRY AVE Charlottesville VA,1400,CHERRY AVE,-78.5018480968552,38.02558307122552
100 OLINDA DR Charlottesville VA,100,OLINDA DR,-78.49961465530086,38.023303243781356
600 E WATER ST Charlottesville VA,600,E WATER ST,-78.47841803288404,38.02843562804972
300 PRESTON AVE Charlottesville VA,300,PRESTON AVE,-78.48325113068964,38.03299278476102
800 CYNTHIA AVE Charlottesville VA,800,CYNTHIA AVE,NA,NA
1200 CHERRY AVE Charlottesville VA,1200,CHERRY AVE,-78.50045045548003,38.02746618562383
400 4TH ST NW Charlottesville VA,400,4TH ST NW,-78.48502872452163,38.03386041656701
1900 ARLINGTON BLVD Charlottesville VA,1900,ARLINGTON BLVD,-78.50415927495229,38.04748368343037
100 MONTPELIER ST Charlottesville VA,100,MONTPELIER ST,-78.5180391,38.0259063
1900 EMMET ST N Charlottesville VA,1900,EMMET ST N,-78.49208945398837,38.06098108960067
200 4TH ST SW Charlottesville VA,200,4TH ST SW,-78.4871201,38.0297585
700 NELSON DR Charlottesville VA,700,NELSON DR,-78.47668546685304,38.037131353211734
0 ELLIWOOD AVE Charlottesville VA,0,ELLIWOOD AVE,-78.5007142516263,38.035441118240996
2100 ANGUS RD Charlottesville VA,2100,ANGUS RD,-78.49477308258318,38.05830526026487
800 E MARKET ST Charlottesville VA,800,E MARKET ST,-78.47567055817485,38.030040486190266
100 E WATER ST Charlottesville VA,100,E WATER ST,-78.48173708613213,38.03025463469725
300 E MARKET ST Charlottesville VA,300,E MARKET ST,-78.4795738290483,38.03076200449205
2100 BARRACKS ROAD Charlottesville VA,2100,BARRACKS ROAD,-78.499113,38.052787
1600 EMMET ST Charlottesville VA,1600,EMMET ST,-78.4944097146229,38.05870343306954
200 RIDGE MCINTIRE RD Charlottesville VA,200,RIDGE MCINTIRE RD,-78.48472850691697,38.03151773602383
900 EMMET ST N Charlottesville VA,900,EMMET ST N,-78.50278065291123,38.049036295956256
500 CAROLINE AVE Charlottesville VA,500,CAROLINE AVE,-78.46416365829876,38.0298876360369
100 LANKFORD ST Charlottesville VA,100,LANKFORD ST,-78.4870571,38.021285
100 HARMON ST Charlottesville VA,100,HARMON ST,-78.51201381840181,38.02677154128092
900 HENRY AVE Charlottesville VA,900,HENRY AVE,-78.486216237184,38.03924559469102
2200 NORTH BERSHIRE RD Charlottesville VA,2200,NORTH BERSHIRE RD,-78.4977444,38.0635005
400 GARRETT ST Charlottesville VA,400,GARRETT ST,-78.48049771104435,38.02747618337938
1200 CEDARS CT Charlottesville VA,1200,CEDARS CT,-78.50150533767138,38.05494265178741
100 W MARKET ST Charlottesville VA,100,W MARKET ST,-78.48161059313288,38.03192214040748
400 MOSELEY DR Charlottesville VA,400,MOSELEY DR,-78.50964633726745,38.01793978468553
100 4TH ST NE Charlottesville VA,100,4TH ST NE,-78.47876011211483,38.03037994511689
100 BIRDWOOD CT Charlottesville VA,100,BIRDWOOD CT,-78.47916026935886,38.04329441066399
1000 MILLMONT ST Charlottesville VA,1000,MILLMONT ST,-78.50422544340307,38.05083193028185
100 SEMINOLE CT Charlottesville VA,100,SEMINOLE CT,-78.4879276700423,38.06575561889554
300 10 1/2 ST NW Charlottesville VA,300,10 1/2 ST NW,-78.48542042761405,38.023351476133705
900 FOREST ST Charlottesville VA,900,FOREST ST,-78.4849039730569,38.039201002086024
1100 RIVER RD Charlottesville VA,1100,RIVER RD,-78.45601033687312,38.038922679018654
2200 WAYNE AVE Charlottesville VA,2200,WAYNE AVE,-78.496992421726,38.059985569889015
1800 LONG ST Charlottesville VA,1800,LONG ST,-78.45886569999999,38.0345609
2100 MICHIE DR Charlottesville VA,2100,MICHIE DR,-78.48610622297404,38.06110771851176
200 11TH ST NE Charlottesville VA,200,11TH ST NE,-78.47228122652422,38.028666182494895
200 HARTMANS MILL RD Charlottesville VA,200,HARTMANS MILL RD,-78.48856378908282,38.01944041131278
2500 RIO MILLS RD Charlottesville VA,2500,RIO MILLS RD,-78.459474,38.11480160000001
100 14TH ST NW Charlottesville VA,100,14TH ST NW,-78.49929329618632,38.034373996909
1100 FORREST ST Charlottesville VA,1100,FORREST ST,-78.4836752,38.0401068
400 VALLEY RD Charlottesville VA,400,VALLEY RD,-78.5072818,38.0295298
800 ROCK CREEK RD Charlottesville VA,800,ROCK CREEK RD,-78.4991593,38.0216573
100 2ND ST SW Charlottesville VA,100,2ND ST SW,-78.482454473645,38.0306050332486
500 1ST ST S Charlottesville VA,500,1ST ST S,-78.48276289029702,38.026292128237365
1600 BRANDYWINE DR Charlottesville VA,1600,BRANDYWINE DR,-78.4881231661464,38.05823889474539
300 2ND ST SE Charlottesville VA,300,2ND ST SE,-78.48186469120705,38.02940988775369
900 RIVES ST Charlottesville VA,900,RIVES ST,-78.4694499369118,38.017773193802206
400 MONTICELLO RD Charlottesville VA,400,MONTICELLO RD,-78.47573823089313,38.02576318197071
200 W MAIN ST Charlottesville VA,200,W MAIN ST,-78.48402231404533,38.030685263445115
100 EMMET ST N Charlottesville VA,100,EMMET ST N,-78.50634860558304,38.039324219750554
300 OLD LYNCHBURG RD Charlottesville VA,300,OLD LYNCHBURG RD,-78.51875627693471,38.01119500469093
600 E. MARKET ST. Charlottesville VA,600,E. MARKET ST.,-78.47745859999999,38.0304127
1000 GROVE ST Charlottesville VA,1000,GROVE ST,-78.49667627119966,38.02945526375462
700 NORTHWOOD AVE Charlottesville VA,700,NORTHWOOD AVE,-78.47751079999999,38.03648159999999
1900 CEDAR HILL RD Charlottesville VA,1900,CEDAR HILL RD,-78.49611053698561,38.0635370172752
1000 LINDEN AVE Charlottesville VA,1000,LINDEN AVE,-78.47006824471273,38.01383469534964
500 71/2 ST SW Charlottesville VA,500,71/2 ST SW,-78.49306829999999,38.0270894
500 BRANDON AVE Charlottesville VA,500,BRANDON AVE,-78.5036764180366,38.03044828380907
300 CARLTON RD Charlottesville VA,300,CARLTON RD,-78.46982142096606,38.02251960245664
300 4TH ST SE Charlottesville VA,300,4TH ST SE,-78.47979606808444,38.02882898620468
600 PRESTON AVE Charlottesville VA,600,PRESTON AVE,-78.48543917826045,38.034629512535474
200 4TH ST NW Charlottesville VA,200,4TH ST NW,-78.48631273668974,38.031612319462255
2000 BARRACKS RD Charlottesville VA,2000,BARRACKS RD,-78.4976434709447,38.05205424391829
800 NORTH AVE Charlottesville VA,800,NORTH AVE,-78.4658467,38.0428946
1700 MONTICELLO RD Charlottesville VA,1700,MONTICELLO RD,-78.47356363492591,38.01640396341818
1600 MERIDIAN ST Charlottesville VA,1600,MERIDIAN ST,-78.48057022545942,38.01600135685997
100 LANKFORD AVE Charlottesville VA,100,LANKFORD AVE,-78.48702784813827,38.02176454760613
100 E MARKET ST Charlottesville VA,100,E MARKET ST,-78.48075186338902,38.031781345291634
200 MAURY AVE Charlottesville VA,200,MAURY AVE,-78.51656723421368,38.02731870777793
500 PARK ST Charlottesville VA,500,PARK ST,-78.47584424888689,38.03326047176278
1500 CHERRY AVE Charlottesville VA,1500,CHERRY AVE,-78.5033549678689,38.02455945660663
5300 WATTS PASSAGE Charlottesville VA,5300,WATTS PASSAGE,-78.39955739999999,38.1795801
900 PAGE ST Charlottesville VA,900,PAGE ST,-78.49151892368968,38.03439189087934
1100 N BAKER ST Charlottesville VA,1100,N BAKER ST,-78.5034879,38.0268329
700 ALTAVISTA AVE Charlottesville VA,700,ALTAVISTA AVE,-78.4819444,38.0204943
1000 ALTAVISTA AVE Charlottesville VA,1000,ALTAVISTA AVE,-78.47718890327481,38.01832415067777
100 RIDGE ST Charlottesville VA,100,RIDGE ST,-78.48527091354002,38.03102829043633
100 W WATER ST Charlottesville VA,100,W WATER ST,-78.4821619106263,38.02957894891247
100 ANTOINETTE CT Charlottesville VA,100,ANTOINETTE CT,-78.50032329999999,38.0208393
2100 JEFFERSON PARK AVE Charlottesville VA,2100,JEFFERSON PARK AVE,-78.51354975333341,38.02598486060085
700 WEST ST Charlottesville VA,700,WEST ST,-78.48772857606117,38.03462574107034
100 CLARKE CT Charlottesville VA,100,CLARKE CT,-78.5156202,38.0268101
300 9TH ST SW Charlottesville VA,300,9TH ST SW,-78.4947143,38.0300327
400 QUARRY RD Charlottesville VA,400,QUARRY RD,-78.47313126406235,38.01389760241664
100 SHAMROCK RD Charlottesville VA,100,SHAMROCK RD,-78.513454914935,38.02902385119034
500 8TH ST NE Charlottesville VA,500,8TH ST NE,-78.475019599723,38.03238981335959
400 ROBINSON PL Charlottesville VA,400,ROBINSON PL,-78.48480592565727,38.022294288893654
1400 MONTICELLO RD Charlottesville VA,1400,MONTICELLO RD,-78.47251350226585,38.019785333976095
300 12TH ST NE Charlottesville VA,300,12TH ST NE,-78.468129,38.0282989
2100 TARLETON DR Charlottesville VA,2100,TARLETON DR,-78.47015356462313,38.06211320429024
100 SOUTH ST W Charlottesville VA,100,SOUTH ST W,-78.4823978,38.0294155
1700 HYDRAULIC RD Charlottesville VA,1700,HYDRAULIC RD,-78.48862302428626,38.05912737056237
1100 MILLMONT ST Charlottesville VA,1100,MILLMONT ST,-78.50543679496761,38.05075516657917
400 CHERRY AVE Charlottesville VA,400,CHERRY AVE,-78.48943899356556,38.026358501261456
400 E MAIN ST Charlottesville VA,400,E MAIN ST,-78.4793726927958,38.030231140251345
1400 MIDLAND ST Charlottesville VA,1400,MIDLAND ST,-78.4665110571047,38.01989906955632
1100 RAYON ST Charlottesville VA,1100,RAYON ST,-78.48387389999999,38.0223996
500 17TH ST NW Charlottesville VA,500,17TH ST NW,-78.50004446095039,38.040277375337546
900 ELLIOTT AVE Charlottesville VA,900,ELLIOTT AVE,-78.4781758,38.0195979
1000 ST CLAIRE AVE Charlottesville VA,1000,ST CLAIRE AVE,-78.4622326,38.0389069
700 MONTICELLO AVE Charlottesville VA,700,MONTICELLO AVE,-78.47908632790646,38.024592952160056
200 GARRETT ST Charlottesville VA,200,GARRETT ST,-78.4847047132234,38.02892032158073
1500 GRADY AVE Charlottesville VA,1500,GRADY AVE,-78.49741061814736,38.04027621480812
1700 MASON LN Charlottesville VA,1700,MASON LN,-78.49091589999999,38.0473724
900 BOLLING AVE Charlottesville VA,900,BOLLING AVE,-78.4764962,38.0221198
200 RIDGE ST Charlottesville VA,200,RIDGE ST,-78.48527821592621,38.02990851604963
700 RIDGE ST Charlottesville VA,700,RIDGE ST,-78.4894890039264,38.024551306326785
400 EMMET ST Charlottesville VA,400,EMMET ST,-78.50733819999999,38.0363511
100 SUMMIT ST Charlottesville VA,100,SUMMIT ST,-78.52077249999999,38.0261037
1300 WERTLAND ST Charlottesville VA,1300,WERTLAND ST,-78.49818847494211,38.03431775905002
1100 E HIGH ST Charlottesville VA,1100,E HIGH ST,-78.48373955268833,38.032987372079866
